# frame a b c d e f angle(deg)
0 6 0 2 7 4 1 46.525890
1 1 4 5 2 7 0 44.574847
2 3 7 6 4 1 0 52.944947
3 3 4 7 6 0 5 2.812680
4 0 6 1 4 7 3 68.629146
5 0 7 3 4 2 5 29.657638
6 1 4 3 5 7 0 29.434735
7 0 5 2 1 6 3 16.437435
8 0 7 5 1 2 3 30.008344
9 1 0 3 2 5 6 57.003780
10 1 0 6 5 2 4 30.331387
11 1 4 0 2 7 3 58.782013
12 5 7 2 6 1 4 19.911497
13 3 0 1 5 6 4 6.271523
14 4 2 0 5 6 3 41.159154
15 0 2 4 3 1 6 39.868604
16 0 7 3 6 2 1 47.364360
17 2 4 0 3 6 5 5.928961
18 1 6 5 4 2 3 34.182689
19 4 6 2 5 3 0 47.382665
20 1 7 6 2 5 3 61.282984
21 3 6 2 5 7 4 53.993396
22 3 7 1 4 0 6 14.036150
23 4 0 1 5 6 3 10.488111
24 0 2 7 4 5 1 41.486253
25 0 7 4 1 3 2 55.046677
26 1 6 3 2 0 4 3.238322
27 1 4 2 6 5 7 33.140792
28 5 3 2 6 0 1 50.268836
29 1 3 4 2 0 6 36.568768
30 2 3 0 6 7 1 50.618341
31 0 4 3 6 7 1 29.799333
32 0 3 7 2 6 4 49.354679
33 1 0 3 2 4 6 5.928961
34 1 3 5 4 2 7 33.716796
35 0 7 4 2 5 3 4.403738
36 6 2 4 7 0 3 40.955952
37 1 6 2 3 7 0 56.024370
38 3 2 4 6 0 5 27.718757
39 4 1 0 5 3 7 44.636154
40 2 5 7 4 6 3 42.596216
41 1 7 6 4 0 5 33.367179
42 1 0 2 3 4 6 61.860146
43 3 6 2 5 7 4 12.508761
44 1 4 0 7 3 5 45.133640
45 2 7 5 3 4 6 43.198230
46 1 6 0 4 7 2 26.242500
47 0 3 5 4 6 7 13.458022
48 0 2 3 4 5 1 29.788999
49 1 6 2 4 5 0 59.911816
50 3 5 6 4 1 7 50.209754
51 0 5 2 1 6 7 57.087178
52 1 0 7 6 5 3 7.292873
53 0 3 2 4 5 1 1.631555
54 2 6 0 5 1 4 54.437617
55 5 4 1 6 2 3 31.229821
56 2 3 4 6 0 1 62.688830
57 5 0 6 7 4 2 50.981480
58 0 4 3 2 1 7 12.953020
59 0 3 5 1 7 6 29.795859
60 3 0 7 6 1 4 21.435314
61 0 5 1 3 6 2 21.520217
62 3 0 2 6 5 4 57.187053
63 4 2 3 5 7 0 6.434982
64 0 7 4 6 1 3 11.390924
65 0 2 5 1 3 7 4.299886
66 1 6 5 2 0 3 3.306827
67 4 3 2 6 7 0 34.540512
68 3 0 1 4 5 6 19.952891
69 0 3 6 4 7 1 7.044037
70 1 5 3 6 2 4 64.586586
71 0 6 4 3 2 5 12.344759
72 2 1 6 4 3 7 13.891346
73 2 5 4 3 1 7 29.548340
74 1 3 2 6 4 7 55.653338
75 2 1 6 4 3 0 17.099220
76 5 0 1 6 4 2 34.318372
77 1 2 0 5 4 3 10.347400
78 4 1 0 5 6 2 20.848621
79 1 6 0 2 5 4 11.867093
80 1 6 2 5 0 3 44.376059
81 0 6 5 3 7 2 20.342937
82 2 3 6 7 4 5 36.456518
83 0 5 1 4 6 7 53.178377
84 4 0 1 6 5 2 50.962294
85 1 3 4 5 6 2 1.542231
86 0 2 4 1 6 7 65.595977
87 1 0 6 5 4 7 172.554215
88 2 0 1 7 5 3 51.314676
89 3 6 0 7 5 2 10.940014
90 5 4 1 6 7 2 43.568622
91 2 7 3 5 4 6 15.360416
92 1 7 6 2 0 5 179.693425
93 1 3 4 5 7 6 34.701864
94 1 6 3 4 7 5 59.465180
95 5 2 3 6 1 0 51.514348
96 3 1 0 7 2 5 48.973698
97 0 6 7 1 2 3 50.655780
98 0 6 7 5 1 3 26.751996
99 5 7 0 6 1 4 44.623909
100 1 2 7 6 5 4 44.339886
101 1 0 3 5 7 6 31.229773
102 4 3 2 5 6 7 30.628438
103 1 6 7 2 4 0 36.615336
104 0 3 7 1 4 6 23.786308
105 0 7 1 2 5 3 22.289890
106 0 2 1 7 3 6 64.956502
107 0 6 2 1 3 7 18.836389
108 0 2 6 1 7 3 18.836389
109 0 1 6 2 4 5 50.171147
110 0 6 2 4 5 1 38.098755
111 2 5 4 6 1 7 49.968967
112 1 5 0 2 6 4 47.784147
113 1 3 0 5 2 4 4.037198
114 3 1 2 4 0 7 62.619477
115 4 1 2 7 0 5 39.360071
116 0 1 2 5 3 7 39.062472
117 2 0 3 7 1 4 34.116945
118 0 4 6 2 1 5 29.062295
119 1 7 4 3 6 5 45.250605
120 1 7 3 4 2 6 22.869126
121 1 7 3 4 6 2 22.869126
122 0 5 1 6 3 2 60.181424
123 0 6 1 3 7 2 4.639361
124 1 4 2 7 3 0 31.278060
125 0 5 6 3 7 2 59.825531
126 2 5 1 4 0 7 47.001392
127 3 0 6 4 5 1 13.482335
128 5 2 7 6 4 1 51.003053
129 2 1 4 5 3 0 52.134766
130 3 7 1 6 0 2 5.668119
131 3 6 7 5 0 2 66.302608
132 1 7 6 3 0 5 174.147870
133 1 7 6 2 0 5 47.830176
134 4 5 3 6 0 7 33.576243
135 5 0 6 7 4 2 48.587319
136 0 1 3 7 4 6 34.308507
137 3 7 4 6 5 0 33.994572
138 0 2 5 1 7 4 24.062645
139 2 3 7 5 6 1 66.154863
140 0 1 5 3 2 6 19.876943
141 0 3 6 5 2 4 34.982793
142 1 2 5 3 4 0 35.656043
143 1 5 3 6 4 0 41.806120
144 1 4 6 3 5 2 57.324190
145 4 5 2 6 0 1 17.182409
146 6 0 4 7 2 5 25.722452
147 0 5 1 3 4 2 55.285077
148 0 6 3 2 4 1 30.595277
149 3 2 1 4 5 0 11.583098
150 2 1 6 4 5 3 40.642714
151 1 5 2 7 6 3 24.640689
152 3 0 5 7 4 6 28.452633
153 1 0 5 7 2 6 8.058361
154 0 1 4 2 6 5 20.262421
155 3 2 1 5 6 7 176.536079
156 2 6 1 7 4 5 5.105433
157 1 6 0 7 4 5 5.105433
158 1 6 2 4 0 7 56.103586
159 3 2 4 5 6 1 53.004284
160 5 4 3 7 0 1 51.841643
161 0 5 1 3 7 6 19.613878
162 3 0 7 6 2 1 52.859363
163 3 6 0 7 4 5 45.178518
164 6 0 3 7 5 2 47.547685
165 4 5 6 7 1 2 10.976530
166 3 7 1 5 6 2 47.287511
167 2 4 0 7 6 1 33.074807
168 6 0 3 7 1 2 43.180883
169 1 2 6 4 3 0 14.974740
170 0 7 4 1 6 2 10.673999
171 0 3 7 5 6 2 26.616753
172 5 0 2 7 1 6 35.923175
173 2 3 6 5 1 7 50.630606
174 3 0 5 7 6 1 50.084728
175 2 4 1 5 6 0 61.603721
176 0 5 3 7 6 2 21.436693
177 0 2 1 6 3 5 49.414102
178 3 2 4 6 5 0 44.891175
179 4 5 3 6 1 2 41.604600
180 6 1 5 7 2 0 55.268442
181 1 5 4 7 3 0 58.305656
182 3 4 5 6 1 2 49.874237
183 0 4 6 3 2 5 5.564674
184 0 4 6 3 2 5 5.564674
185 3 0 6 7 5 4 17.059856
186 4 2 1 6 7 0 50.643609
187 0 2 3 4 5 1 6.785796
188 1 3 0 6 2 4 50.534374
189 1 4 5 3 6 2 48.230587
190 1 4 2 5 0 3 38.352139
191 2 3 0 5 6 1 51.742180
192 2 7 6 3 1 4 13.471079
193 4 1 2 7 5 0 48.836589
194 0 5 6 7 2 3 7.184195
195 2 1 7 4 6 3 55.776056
196 0 7 4 3 1 6 14.729418
197 1 6 7 4 0 3 28.600783
198 6 2 1 7 3 5 45.804690
199 3 0 4 7 6 2 52.277262
200 4 1 2 7 3 6 30.481301
201 2 1 6 7 0 5 51.634221
202 3 5 7 6 0 1 14.864616
203 0 3 1 7 2 6 6.489413
204 2 4 1 7 3 6 15.213838
205 2 1 4 7 6 3 15.213838
206 2 3 4 7 0 1 46.165572
207 1 3 5 7 4 6 33.923251
208 1 6 0 7 4 3 13.091521
