bin_center,count
-25.0020237366339,6
-24.6708723420847,25
-24.3397209475355,68
-24.008569552986298,148
-23.6774181584371,235
-23.346266763887897,266
-23.015115369338695,264
-22.683963974789492,269
-22.352812580240293,266
-22.02166118569109,293
-21.69050979114189,398
-21.35935839659269,525
-21.028207002043487,610
-20.697055607494285,736
-20.365904212945086,841
-20.034752818395884,772
-19.70360142384668,687
-19.37245002929748,605
-19.04129863474828,484
-18.710147240199078,466
-18.378995845649875,484
-18.047844451100676,469
-17.716693056551474,510
-17.38554166200227,502
-17.054390267453073,404
-16.72323887290387,326
-16.392087478354668,316
-16.06093608380547,353
-15.729784689256267,426
-15.398633294707064,485
-15.067481900157864,523
-14.736330505608663,534
-14.40517911105946,512
-14.07402771651026,498
-13.74287632196106,531
-13.411724927411857,640
-13.080573532862655,819
-12.749422138313456,1067
-12.418270743764253,1228
-12.087119349215051,1204
-11.755967954665852,1166
-11.42481656011665,1356
-11.093665165567447,1509
-10.762513771018249,1478
-10.431362376469046,1549
-10.100210981919844,1516
-9.769059587370643,1478
-9.437908192821443,1403
-9.10675679827224,1348
-8.77560540372304,1342
-8.444454009173839,1318
-8.113302614624637,1263
-7.782151220075436,1191
-7.450999825526235,1160
-7.119848430977033,1072
-6.788697036427832,999
-6.457545641878632,871
-6.126394247329429,892
-5.795242852780227,915
-5.464091458231026,862
-5.132940063681826,731
-4.801788669132623,686
-4.470637274583423,669
-4.139485880034222,557
-3.8083344854850196,516
-3.477183090935819,499
-3.1460316963866184,624
-2.814880301837416,864
-2.4837289072882154,1017
-2.1525775127390148,1039
-1.8214261181898124,909
-1.49027472364061,827
-1.1591233290914094,860
-0.8279719345422087,993
-0.49682053999300635,1015
-0.16566914544380573,1148
0.16548224910539489,1399
0.4966336436545973,1794
0.8277850382037979,2017
1.1589364327529985,2045
1.490087827302201,1996
1.8212392218514015,2025
2.152390616400602,1984
2.4835420109498045,1915
2.814693405499005,1822
3.1458448000482058,1714
3.476996194597408,1601
3.808147589146609,1501
4.139298983695809,1517
4.470450378245012,1524
4.801601772794214,1497
5.132753167343415,1406
5.463904561892615,1441
5.795055956441818,1492
6.126207350991018,1474
6.457358745540219,1542
6.788510140089421,1576
7.119661534638624,1470
7.450812929187826,1426
7.781964323737025,1337
8.113115718286224,1309
8.444267112835426,1400
8.775418507384629,1473
9.106569901933831,1598
9.437721296483033,1647
9.768872691032232,1495
10.100024085581431,1476
10.431175480130634,1471
10.762326874679836,1341
11.093478269229038,1168
11.42462966377824,830
11.75578105832744,600
12.086932452876638,532
12.41808384742584,521
12.749235241975043,478
13.080386636524246,478
13.411538031073448,552
13.74268942562265,696
14.07384082017185,888
14.404992214721048,933
14.73614360927025,786
15.067295003819453,687
15.398446398368655,681
15.729597792917858,704
16.060749187467056,751
16.391900582016255,768
16.723051976565458,751
17.05420337111466,631
17.385354765663863,528
17.716506160213065,486
18.047657554762267,560
18.378808949311466,637
18.709960343860665,566
19.041111738409867,435
19.37226313295907,289
19.703414527508272,153
20.034565922057475,100
20.365717316606673,119
20.696868711155872,196
21.028020105705075,241
21.359171500254277,281
21.69032289480348,297
22.021474289352682,332
22.352625683901884,375
22.683777078451083,351
23.014928473000282,239
23.346079867549484,131
23.677231262098687,58
24.00838265664789,18
24.339534051197088,11
