source,path,frame_index,natoms,atom_index,PC1,PC2
rss_train.extxyz,rss_train.extxyz,0,10,0,-3.6737652258919162,-1.0024422623208507
rss_train.extxyz,rss_train.extxyz,0,10,1,-3.6737662601673833,-1.0024417199720066
rss_train.extxyz,rss_train.extxyz,0,10,2,-3.673764643649303,-1.0024413347158962
rss_train.extxyz,rss_train.extxyz,0,10,3,-3.673765236344561,-1.0024422617612785
rss_train.extxyz,rss_train.extxyz,0,10,4,-3.673766248851212,-1.0024417442963616
rss_train.extxyz,rss_train.extxyz,0,10,5,-3.6737646436566074,-1.0024413123135303
rss_train.extxyz,rss_train.extxyz,0,10,6,2.790446972533111,-6.329109689148535
rss_train.extxyz,rss_train.extxyz,0,10,7,2.7904467224092215,-6.329100380543194
rss_train.extxyz,rss_train.extxyz,0,10,8,2.790446722386015,-6.32910039390177
rss_train.extxyz,rss_train.extxyz,0,10,9,3.872940913947481,-13.910728493010973
rss_train.extxyz,rss_train.extxyz,1,12,0,0.6791798989858755,-6.714305460940823
rss_train.extxyz,rss_train.extxyz,1,12,1,7.926013365687723,4.835838827850882
rss_train.extxyz,rss_train.extxyz,1,12,2,12.635693169378527,8.175930634687472
rss_train.extxyz,rss_train.extxyz,1,12,3,-1.7624450889371666,0.1695772301012224
rss_train.extxyz,rss_train.extxyz,1,12,4,12.172304138115422,3.053226940398073
rss_train.extxyz,rss_train.extxyz,1,12,5,-16.697518544563927,-0.6354539435735106
rss_train.extxyz,rss_train.extxyz,1,12,6,-13.129025577415904,-3.1906833710724207
rss_train.extxyz,rss_train.extxyz,1,12,7,13.776191009711802,8.2655437789617
rss_train.extxyz,rss_train.extxyz,1,12,8,-2.210136626058695,-2.060151367187618
rss_train.extxyz,rss_train.extxyz,1,12,9,9.880172410803667,7.915804777858158
rss_train.extxyz,rss_train.extxyz,1,12,10,0.4371078099066352,8.3408949891745
rss_train.extxyz,rss_train.extxyz,1,12,11,6.120310859773845,7.12610082530038
rss_train.extxyz,rss_train.extxyz,2,6,0,-10.677898193437525,7.916148412032788
rss_train.extxyz,rss_train.extxyz,2,6,1,-10.815812989736653,7.827611040915832
rss_train.extxyz,rss_train.extxyz,2,6,2,-7.689762033404772,-6.399488827405104
rss_train.extxyz,rss_train.extxyz,2,6,3,-5.4567410840802175,1.2211943586149658
rss_train.extxyz,rss_train.extxyz,2,6,4,-8.861963615728211,7.697352810202007
rss_train.extxyz,rss_train.extxyz,2,6,5,-5.272963298972222,5.53837772907093
rss_train.extxyz,rss_train.extxyz,3,14,0,-7.70464248401807,12.505018790306714
rss_train.extxyz,rss_train.extxyz,3,14,1,-7.704642475864478,12.505018794905917
rss_train.extxyz,rss_train.extxyz,3,14,2,-8.812100303475145,-2.8149875265588045
rss_train.extxyz,rss_train.extxyz,3,14,3,-8.812100322832759,-2.814987533938006
rss_train.extxyz,rss_train.extxyz,3,14,4,-5.241439850994109,3.161540460596427
rss_train.extxyz,rss_train.extxyz,3,14,5,-5.24143983326125,3.1615404352455756
rss_train.extxyz,rss_train.extxyz,3,14,6,-6.637554482488351,0.293740681217191
rss_train.extxyz,rss_train.extxyz,3,14,7,-6.637554483493211,0.29374067792720093
rss_train.extxyz,rss_train.extxyz,3,14,8,-5.884527520091613,-0.5149196112446318
rss_train.extxyz,rss_train.extxyz,3,14,9,-5.884527517633824,-0.5149195766732733
rss_train.extxyz,rss_train.extxyz,3,14,10,-0.48913790837936233,7.778644424345343
rss_train.extxyz,rss_train.extxyz,3,14,11,-0.4891378793443266,7.778644426018522
rss_train.extxyz,rss_train.extxyz,3,14,12,-2.9701058788280186,13.897808984834446
