x,Curve1
2.16307,0.1522
2.21585,0.3776
2.26858,0.669
2.30802,1.0395
2.33748,1.5155
2.35704,1.9386
2.36998,2.3747
2.38939,3.0355
2.39888,3.6962
2.41174,4.2512
2.42766,5.1893
2.43701,6.0481
2.44073,10.4339
2.44282,7.2635
2.44548,8.2543
2.45147,9.1923
2.45353,11.0814
2.46332,11.2797
2.51931,11.6505
2.56929,11.0832
2.56955,10.7001
2.57997,9.9473
2.58037,9.3396
2.58409,8.7188
2.58443,8.2036
2.59469,7.6886
2.59838,7.1206
2.60547,6.3942
2.60581,5.879
2.61617,5.2187
2.61982,4.7035
2.63348,4.0564
2.64395,3.2244
2.66439,2.3264
2.68481,1.4549
2.7084,0.8079
2.73194,0.2138
2.86438,0.0177
3.00649,0.1916
3.07576,0.4833
3.13489,1.0919
3.18085,1.621
3.25318,2.2826
3.30888,3.0761
3.36467,3.7375
3.4039,4.4382
3.44649,5.0597
3.47902,5.8792
3.53785,6.9502
3.57038,7.7829
3.59637,8.4834
3.61246,9.1574
3.63833,10.0561
3.6775,10.8493
3.71673,11.55
3.75934,12.1319
3.81199,12.5422
3.90756,13.0721
3.984,12.5185
4.00416,12.0432
4.01773,11.5282
4.04459,10.9342
4.06145,10.4457
4.08832,9.8252
4.11179,9.35
4.13534,8.7427
4.15878,8.3072
4.17231,7.8582
4.18918,7.3565
4.2093,6.9473
4.22279,6.5512
4.24949,6.1817
4.28603,5.9577
4.36213,5.9193
4.44148,5.9601
4.4844,6.0797
4.53725,6.1862
4.58344,6.3718
4.62298,6.597
4.6659,6.7166
4.69226,6.8623
4.74504,7.0745
4.81107,7.2604
4.86392,7.3669
4.93662,7.4737
5.02261,7.4882
5.08878,7.4628
5.13831,7.5825
5.191,7.94
5.24697,8.3371
5.30288,8.8136
5.33898,9.2368
5.385,9.6735
5.42763,10.229
5.46038,10.7314
5.48984,11.1943
5.51924,11.7495
5.56508,12.4504
5.5977,13.1378
5.62041,13.8119
5.65308,14.4332
5.656,15.0145
5.68539,15.583
5.70151,16.2173
5.70782,16.6798
5.71736,17.2612
5.74027,17.6182
5.76327,17.8563
5.80606,18.174
5.84892,18.386
5.89515,18.4924
5.93809,18.5856
5.99101,18.5864
6.01426,18.4414
6.03095,18.2171
6.06421,17.9402
6.08086,17.7687
6.11412,17.4919
6.16056,17.2812
6.21684,17.2028
6.28635,17.1378
6.34582,17.2312
6.40854,17.4303
6.47113,17.8012
6.51726,18.0793
6.57332,18.3312
6.62614,18.4905
6.67568,18.5969
