icohp_num,icohp_num,atom1,atom2,bond_dist,icohp_value,icohp_scaled,in_dumbbell,color_indumb,center1,b,c,center2,e,f,dih_angle
1.0,1,As1,As6,2.42795,-4.51656,0.9076432737021065,True,1,As1,As169,As170,As6,As10,As171,58.432358
2.0,2,As1,As169,2.4906,-4.10439,0.824814012467495,True,1,As1,As6,As170,As169,As9,As222,-98.208812
3.0,3,As1,As170,2.47053,-4.26301,0.8566901252778258,True,1,As1,As6,As169,As170,As172,As173,-68.867016
4.0,4,As2,As5,2.46296,-4.20253,0.8445361263951577,True,1,As2,As8,As34,As5,As3,As115,162.579067
5.0,5,As2,As8,2.49339,-4.21052,0.846141788615272,True,1,As2,As5,As34,As8,As4,As12,-71.475423
6.0,6,As2,As34,2.48901,-4.11926,0.8278022724441032,True,1,As2,As5,As8,As34,As35,As38,-101.287884
7.0,7,As3,As4,2.48962,-4.11802,0.8275530833135722,True,1,As3,As5,As7,As4,As8,As13,-107.25037
8.0,8,As3,As5,2.4508,-4.46927,0.8981399237159726,True,1,As3,As4,As7,As5,As2,As115,-27.961874
9.0,9,As3,As7,2.48574,-4.08683,0.8212851728448155,True,1,As3,As4,As5,As7,As16,As118,162.478875
10.0,10,As4,As8,2.48993,-4.06421,0.816739480802389,True,1,As4,As3,As13,As8,As2,As12,44.258535
11.0,11,As4,As13,2.51926,-3.81232,0.7661199242786578,True,1,As4,As3,As8,As13,As12,As329,-40.048617
12.0,12,As5,As115,2.49004,-4.08965,0.821851877157797,True,1,As5,As2,As3,As115,As118,As119,-116.791497
13.0,13,As6,As10,2.47655,-4.20952,0.8459408296390376,True,1,As6,As1,As171,As10,As61,As94,-21.376405
14.0,14,As6,As171,2.50291,-3.93871,0.7915191292849477,True,1,As6,As1,As10,As171,As173,As207,-156.604591
15.0,15,As7,As16,2.47802,-4.22534,0.8491200006430687,True,1,As7,As3,As118,As16,As127,As135,-31.507565
16.0,16,As7,As118,2.44794,-4.44299,0.8928587218205275,True,1,As7,As3,As16,As118,As115,As126,-53.202431
17.0,17,As8,As12,2.49802,-3.96105,0.7960085528140286,True,1,As8,As2,As4,As12,As13,As342,-134.089272
18.0,18,As9,As14,2.53858,-3.7287,0.7493157346859212,True,1,As9,As64,As169,As14,As11,As71,-75.98815
19.0,19,As9,As64,2.43835,-4.38941,0.8820913398738781,True,1,As9,As14,As169,As64,As65,As68,58.505318
20.0,20,As9,As169,2.51035,-3.8713,0.777972484696974,True,1,As9,As14,As64,As169,As1,As222,156.308615
21.0,21,As10,As61,2.43024,-4.55273,0.9149119598725117,True,1,As10,As6,As94,As61,As59,As222,-59.745553
22.0,22,As10,As94,2.46271,-4.3074,0.8656106942328794,True,1,As10,As6,As61,As94,As70,As106,123.044498
23.0,23,As11,As14,2.48737,-4.10315,0.824564823336964,True,1,As11,As28,As65,As14,As9,As71,57.745115
24.0,24,As11,As28,2.47379,-4.18583,0.8411801114920401,True,1,As11,As14,As65,As28,As23,As359,121.794276
25.0,25,As11,As65,2.48828,-4.03094,0.8100535756630641,True,1,As11,As14,As28,As65,As57,As64,-139.378152
26.0,26,As12,As13,2.49573,-3.94499,0.7927811516557011,True,1,As12,As8,As342,As13,As4,As329,139.522873
27.0,27,As12,As342,2.47697,-4.30481,0.8650902104844317,True,1,As12,As8,As13,As342,As336,As343,38.381052
28.0,28,As13,As329,2.49045,-4.15137,0.834255065170996,True,1,As13,As4,As12,As329,As32,As344,173.732327
29.0,29,As14,As71,2.47188,-4.23353,0.85076585465843,True,1,As14,As9,As11,As71,As20,As68,111.447166
30.0,30,As15,As148,2.48749,-4.10818,0.825575646987424,True,1,As15,As341,As367,As148,As479,As484,-21.987893
31.0,31,As15,As341,2.49549,-3.95433,0.7946581084937321,True,1,As15,As148,As367,As341,As457,As484,-86.468115
32.0,32,As15,As367,2.45621,-4.36871,0.8779314890658221,True,1,As15,As148,As341,As367,As35,As46,160.084231
33.0,33,As16,As127,2.47082,-4.28907,0.8619271161984992,True,1,As16,As7,As135,As127,As126,As132,-50.556713
34.0,34,As16,As135,2.46696,-4.33132,0.8704176329444107,True,1,As16,As7,As127,As135,As128,As290,-43.019003
35.0,35,As17,As18,2.45099,-4.46637,0.8975571426848924,True,1,As17,As19,As186,As18,As20,As25,-94.577212
36.0,36,As17,As19,2.48189,-4.2415,0.8523674976990198,True,1,As17,As18,As186,As19,As21,As22,-37.966064
37.0,37,As17,As186,2.49978,-4.04743,0.8133673891811726,True,1,As17,As18,As19,As186,As26,As145,-44.09012
38.0,38,As18,As20,2.49875,-4.0484,0.8135623193881201,True,1,As18,As17,As25,As20,As71,As72,140.861646
39.0,39,As18,As25,2.50269,-3.90549,0.7848432720944346,True,1,As18,As17,As20,As25,As26,As30,141.109379
40.0,40,As19,As21,2.50364,-3.86644,0.7769958240724738,True,1,As19,As17,As22,As21,As24,As27,-161.148084
41.0,41,As19,As22,2.47957,-3.90402,0.7845478623993698,True,1,As19,As17,As21,As22,As26,As131,135.181794
42.0,42,As20,As71,2.49127,-4.01682,0.8072160349186317,True,1,As20,As18,As72,As71,As14,As68,166.666115
43.0,43,As20,As72,2.48033,-4.25331,0.8547408232083502,True,1,As20,As18,As71,As72,As31,As81,27.546621
44.0,44,As21,As24,2.51497,-3.81912,0.7674864453170529,True,1,As21,As19,As27,As24,As23,As32,-139.130149
45.0,45,As21,As27,2.54733,-3.74088,0.7517634150164586,True,1,As21,As19,As24,As27,As133,As349,-138.584712
46.0,46,As22,As26,2.46859,-4.26034,0.8561535648112795,True,1,As22,As19,As131,As26,As25,As186,-91.748471
47.0,47,As22,As131,2.51307,-3.88418,0.7805608363108756,True,1,As22,As19,As26,As131,As133,As147,163.131297
