icohp_num,icohp_num,atom1,atom2,bond_dist,icohp_value,icohp_scaled
1,1,As1,As4,2.47919,-4.23398,0.8508562861977356
2,2,As1,As4,2.47919,-4.23416,0.8508924588134579
3,3,As1,As6,2.47836,-4.22594,0.8492405760288094
4,4,As2,As3,2.47919,-4.23406,0.8508723629158345
5,5,As2,As3,2.47919,-4.23398,0.8508562861977356
6,6,As2,As5,2.47836,-4.22599,0.8492506239776213
7,7,As3,As8,2.47836,-4.22591,0.8492345472595224
8,8,As4,As7,2.47836,-4.22603,0.8492586623366706
9,9,As5,As8,2.47919,-4.23407,0.8508743725055967
10,10,As5,As8,2.47919,-4.23399,0.850858295787498
11,11,As6,As7,2.47919,-4.23409,0.8508783916851215
12,12,As6,As7,2.47919,-4.23407,0.8508743725055967
