icohp_num,icohp_num,atom1,atom2,bond_dist,icohp_value,icohp_scaled
1,1,As1,As3,2.45416,-4.48187,0.9006720068165285
2,2,As1,As15,2.44068,-4.53193,0.9107320131668322
3,3,As1,As33,2.43836,-4.56891,0.9181634761079873
4,4,As2,As4,2.45416,-4.48105,0.900507220456016
5,5,As2,As16,2.44068,-4.53175,0.9106958405511099
6,6,As2,As34,2.43836,-4.56857,0.9180951500560676
7,7,As3,As5,2.45806,-4.44871,0.8940082071645894
8,8,As3,As19,2.47974,-4.35151,0.8744749946745872
9,9,As4,As6,2.45806,-4.44862,0.8939901208567284
10,10,As4,As20,2.47974,-4.35157,0.8744870522131611
11,11,As5,As7,2.44357,-4.48937,0.9021791991382879
12,12,As5,As35,2.43658,-4.58361,0.9211175730586358
13,13,As6,As8,2.44357,-4.48936,0.9021771895485254
14,14,As6,As36,2.43658,-4.58285,0.9209648442366974
15,15,As7,As9,2.44084,-4.60692,0.9258019267946641
16,16,As7,As23,2.49637,-4.13525,0.8310156064740944
17,17,As8,As10,2.44084,-4.6062,0.9256572363317753
18,18,As8,As24,2.49637,-4.13502,0.8309693859095604
19,19,As9,As11,2.44268,-4.4645,0.8971813493993337
20,20,As9,As37,2.46863,-4.41167,0.8865646866848601
21,21,As10,As12,2.44268,-4.46495,0.8972717809386391
22,22,As10,As38,2.46862,-4.41169,0.8865687058643849
23,23,As11,As13,2.43564,-4.50736,0.9057944511207483
24,24,As11,As27,2.51194,-4.02647,0.8091552890392955
25,25,As12,As14,2.43565,-4.50905,0.9061340717905847
26,26,As12,As28,2.51194,-4.02674,0.8092095479628789
27,27,As13,As15,2.44032,-4.61951,0.9283320003054576
28,28,As13,As39,2.47396,-4.3647,0.8771256435711214
29,29,As14,As16,2.44032,-4.62015,0.9284606140502477
30,30,As14,As40,2.47396,-4.3645,0.8770854517758744
31,31,As15,As31,2.49871,-4.12664,0.8292853496887146
32,32,As16,As32,2.49871,-4.12647,0.8292511866627548
33,33,As17,As19,2.45174,-4.46084,0.8964458395463151
34,34,As17,As31,2.44275,-4.50158,0.9046329082381122
35,35,As17,As33,2.43428,-4.63116,0.9306731723785907
36,36,As18,As20,2.45174,-4.4591,0.8960961709276669
37,37,As18,As32,2.44275,-4.50124,0.9045645821861925
38,38,As18,As34,2.43428,-4.6303,0.9305003476590289
39,39,As19,As21,2.4539,-4.42809,0.8898644330746321
40,40,As20,As22,2.4539,-4.42796,0.8898383084077216
41,41,As21,As23,2.4505,-4.41711,0.8876579035155764
42,42,As21,As35,2.43298,-4.62935,0.9303094366316059
43,43,As22,As24,2.4505,-4.41742,0.887720200798209
44,44,As22,As36,2.43298,-4.62984,0.930407906529961
45,45,As23,As25,2.44232,-4.64087,0.9326244840378284
46,46,As24,As26,2.44232,-4.64217,0.9328857307069335
47,47,As25,As27,2.4455,-4.44047,0.8923523052004164
48,48,As25,As37,2.46911,-4.37185,0.8785625002511988
49,49,As26,As28,2.4455,-4.44152,0.8925633121254627
50,50,As26,As38,2.4691,-4.3728,0.8787534112786215
51,51,As27,As29,2.44657,-4.37566,0.8793281539506524
52,52,As28,As30,2.44657,-4.37746,0.8796898801078749
53,53,As29,As31,2.43635,-4.65062,0.9345838340561158
54,54,As29,As39,2.46404,-4.41602,0.8874388582314805
55,55,As30,As32,2.43635,-4.64885,0.9342281366681806
56,56,As30,As40,2.46404,-4.41603,0.887440867821243
57,57,As33,As41,2.4808,-4.17272,0.8385455393136045
58,58,As34,As42,2.4808,-4.1729,0.8385817119293268
59,59,As35,As41,2.48065,-4.16552,0.8370986346847155
60,60,As36,As42,2.48065,-4.16567,0.8371287785311508
61,61,As37,As39,2.558,-3.8209,0.7678441522947506
62,62,As38,As40,2.558,-3.82108,0.7678803249104728
63,63,As41,As42,2.4776,-4.14342,0.8326574413099309
