icohp_num,icohp_num,atom1,atom2,bond_dist,icohp_value,icohp_scaled
1,1,As1,As25,2.43241,-4.58175,0.9207437893628395
2,2,As1,As49,2.45001,-4.48558,0.9014175646183588
3,3,As1,As69,2.43612,-4.57369,0.9191240600143886
4,4,As2,As26,2.43241,-4.58196,0.9207859907478486
5,5,As2,As50,2.45001,-4.48547,0.9013954591309731
6,6,As2,As70,2.43612,-4.57353,0.9190919065781911
7,7,As3,As27,2.43241,-4.58218,0.9208302017226204
8,8,As3,As51,2.45,-4.48546,0.9013934495412106
9,9,As3,As71,2.43612,-4.57349,0.9190838682191417
10,10,As4,As28,2.43241,-4.58208,0.920810105824997
11,11,As4,As52,2.45001,-4.4858,0.9014617755931305
12,12,As4,As72,2.43613,-4.5737,0.9191260696041509
13,13,As5,As21,2.43202,-4.54431,0.9132198852926164
14,14,As5,As49,2.44595,-4.51221,0.9067691021554859
15,15,As5,As53,2.42518,-4.66486,0.9374454898776964
16,16,As6,As22,2.43202,-4.54462,0.9132821825752491
17,17,As6,As50,2.44595,-4.51211,0.9067490062578625
18,18,As6,As54,2.42518,-4.66479,0.93743142274936
19,19,As7,As23,2.43202,-4.54454,0.9132661058571503
20,20,As7,As51,2.44595,-4.51197,0.9067208720011897
21,21,As7,As55,2.42518,-4.6648,0.9374334323391222
22,22,As8,As24,2.43202,-4.54452,0.9132620866776257
23,23,As8,As52,2.44594,-4.51216,0.9067590542066742
24,24,As8,As56,2.42518,-4.66481,0.9374354419288846
25,25,As9,As25,2.5021,-4.10532,0.8250009043153931
26,26,As9,As33,2.43709,-4.66203,0.9368767759749524
27,27,As9,As41,2.43684,-4.57964,0.9203197659229846
28,28,As10,As26,2.50211,-4.10516,0.8249687508791954
29,29,As10,As34,2.43709,-4.66236,0.9369430924371098
30,30,As10,As42,2.43684,-4.57946,0.9202835933072623
31,31,As11,As27,2.50211,-4.10574,0.8250853070854116
32,32,As11,As35,2.43709,-4.66231,0.9369330444882981
33,33,As11,As43,2.43684,-4.57893,0.9201770850498578
34,34,As12,As28,2.50211,-4.10535,0.82500693308468
35,35,As12,As36,2.43709,-4.66194,0.9368586896670914
36,36,As12,As44,2.43683,-4.57922,0.9202353631529661
37,37,As13,As21,2.50382,-4.07893,0.8196975969325622
38,38,As13,As37,2.42967,-4.73717,0.9519768334492197
39,39,As13,As73,2.44401,-4.48769,0.9018415880582138
40,40,As14,As22,2.50383,-4.07881,0.819673481855414
41,41,As14,As38,2.42967,-4.73754,0.9520511882704265
42,42,As14,As74,2.44401,-4.48752,0.9018074250322539
43,43,As15,As23,2.50382,-4.07915,0.8197418079073339
44,44,As15,As39,2.42967,-4.73762,0.9520672649885252
45,45,As15,As75,2.44401,-4.48748,0.9017993866732045
46,46,As16,As24,2.50382,-4.07904,0.819719702419948
47,47,As16,As40,2.42967,-4.73771,0.9520853512963863
48,48,As16,As76,2.44401,-4.48772,0.9018476168275009
49,49,As17,As29,2.43448,-4.48708,0.9017190030827107
50,50,As17,As45,2.51444,-4.02209,0.808275088723388
51,51,As17,As61,2.43593,-4.50013,0.9043415177225722
52,52,As18,As30,2.43448,-4.48717,0.9017370893905717
53,53,As18,As46,2.51444,-4.02203,0.8082630311848139
54,54,As18,As62,2.43593,-4.5001,0.9043354889532851
55,55,As19,As31,2.43448,-4.48713,0.9017290510315223
56,56,As19,As47,2.51444,-4.02205,0.8082670503643387
57,57,As19,As63,2.43593,-4.49996,0.9043073546966122
58,58,As20,As32,2.43448,-4.48711,0.9017250318519978
59,59,As20,As48,2.51444,-4.02204,0.8082650407745762
60,60,As20,As64,2.43592,-4.5001,0.9043354889532851
61,61,As21,As61,2.44055,-4.61532,0.9274899821950346
