icohp_num,icohp_num,atom1,atom2,bond_dist,icohp_value,icohp_scaled
1,1,As1,As3,2.44001,-3.86815,0.777339463921835
2,2,As1,As5,2.44753,-3.78342,0.7603122098654781
3,3,As1,As7,2.43986,-3.87112,0.7779363120812517
4,4,As2,As4,2.43999,-3.86805,0.7773193680242115
5,5,As2,As6,2.44751,-3.78354,0.7603363249426262
6,6,As2,As8,2.43984,-3.87079,0.7778699956190943
7,7,As3,As5,2.44308,-3.84933,0.7735574159891
8,8,As3,As7,2.44093,-3.82535,0.7687384197389945
9,9,As4,As6,2.44306,-3.85016,0.7737242119393747
10,10,As4,As8,2.44091,-3.82527,0.7687223430208957
11,11,As5,As7,2.43834,-3.85314,0.7743230696885537
12,12,As6,As8,2.43833,-3.853,0.774294935431881
13,13,As9,As11,2.44176,-3.84028,0.771738737254177
14,14,As9,As13,2.4374,-3.9004,0.7838203909054006
15,15,As9,As15,2.44656,-3.74716,0.7530254373872118
16,16,As10,As12,2.44178,-3.83996,0.7716744303817819
17,17,As10,As14,2.43743,-3.90015,0.783770151161342
18,18,As10,As16,2.44658,-3.74704,0.7530013223100637
19,19,As11,As13,2.44461,-3.81323,0.7663027969470312
20,20,As11,As15,2.43787,-3.86479,0.7766642417616868
21,21,As12,As14,2.44465,-3.81291,0.7662384900746362
22,22,As12,As16,2.4379,-3.86434,0.7765738102223811
23,23,As13,As15,2.43715,-3.89644,0.7830245933595116
24,24,As14,As16,2.43718,-3.89673,0.7830828714626196
25,25,As17,As19,2.44199,-3.8052,0.7646890963678675
26,26,As17,As21,2.44315,-3.83817,0.7713147138143219
27,27,As17,As23,2.4436,-3.83634,0.7709469588878126
28,28,As18,As20,2.44199,-3.80515,0.7646790484190557
29,29,As18,As22,2.44316,-3.83772,0.7712242822750164
30,30,As18,As24,2.4436,-3.83643,0.7709650451956738
31,31,As19,As21,2.43653,-3.90322,0.7843870952183821
32,32,As19,As23,2.44388,-3.83144,0.7699622599042631
33,33,As20,As22,2.43654,-3.90317,0.7843770472695704
34,34,As20,As24,2.44389,-3.83145,0.7699642694940254
35,35,As21,As23,2.44312,-3.83316,0.7703079093433867
36,36,As22,As24,2.44312,-3.83308,0.7702918326252879
