icohp_num,icohp_num,atom1,atom2,bond_dist,icohp_value,icohp_scaled
1,1,P1,P3,2.20658,-5.34388,0.818026375207611
2,2,P1,P32,2.31131,-4.60713,0.705246722233703
3,3,P1,P195,2.21951,-5.27964,0.8081926936235677
4,4,P2,P75,2.22799,-5.13934,0.7867159575363749
5,5,P2,P114,2.2914,-4.78072,0.7318193994780066
6,6,P2,P149,2.22869,-5.21619,0.7984799430552685
7,7,P3,P58,2.20289,-5.33167,0.8161573021668083
8,8,P3,P81,2.24621,-5.0455,0.7723511897928099
9,9,P4,P100,2.24112,-5.17283,0.7918425141405095
10,10,P4,P136,2.29741,-4.74674,0.7266178350286637
11,11,P4,P180,2.21302,-5.47518,0.8381254161787329
12,12,P5,P55,2.23083,-4.98911,0.7637191645044508
13,13,P5,P108,2.21321,-5.25735,0.8047806020527657
14,14,P5,P162,2.23757,-4.67886,0.7162269523087874
15,15,P5,P205,2.24497,-4.81268,0.7367117479124092
16,16,P6,P31,2.22216,-5.30095,0.8114547695039532
17,17,P6,P48,2.22345,-5.1465,0.7878119905398268
18,18,P6,P145,2.19229,-5.55647,0.8505690646215548
19,19,P7,P24,2.18615,-5.61171,0.8590250510895272
20,20,P7,P97,2.18628,-5.64034,0.8634076523309836
21,21,P7,P167,2.29775,-4.70508,0.720240637413607
22,22,P8,P30,2.22387,-5.48495,0.8396209807658455
23,23,P8,P192,2.27328,-4.94978,0.7576986368472212
24,24,P8,P201,2.2541,-5.1117,0.7824849027576863
25,25,P9,P124,2.25745,-4.71295,0.7214453552539934
26,26,P9,P138,2.28369,-4.54151,0.6952017940651956
27,27,P9,P247,2.24545,-4.86777,0.7451447727951138
28,28,P10,P39,2.28956,-4.79576,0.734121681094196
29,29,P10,P159,2.22986,-5.21302,0.7979946882199414
30,30,P10,P172,2.1935,-5.65175,0.8651542635836911
31,31,P11,P96,2.26567,-4.99241,0.7642243193803433
32,32,P11,P131,2.28247,-4.84976,0.742387851790621
33,33,P11,P139,2.19216,-5.56607,0.852038606078697
34,34,P12,P36,2.21252,-5.49652,0.841392084376172
