icohp_num,icohp_num,atom1,atom2,bond_dist,icohp_value,icohp_scaled,in_dumbbell,color_indumb,center1,b,c,center2,e,f,dih_angle
1.0,1,P1,P3,2.20658,-5.34388,0.818026375207611,True,1,P1,P32,P195,P3,P58,P81,-73.094466
2.0,2,P1,P32,2.31131,-4.60713,0.705246722233703,True,1,P1,P3,P195,P32,P135,P161,-0.862394
3.0,3,P1,P195,2.21951,-5.27964,0.8081926936235677,True,1,P1,P3,P32,P195,P29,P141,66.860776
4.0,4,P2,P75,2.22799,-5.13934,0.7867159575363749,True,1,P2,P114,P149,P75,P40,P227,65.75234
5.0,5,P2,P114,2.2914,-4.78072,0.7318193994780066,True,1,P2,P75,P149,P114,P216,P239,1.959618
6.0,6,P2,P149,2.22869,-5.21619,0.7984799430552685,True,1,P2,P75,P114,P149,P117,P164,-71.757207
7.0,7,P3,P58,2.20289,-5.33167,0.8161573021668083,True,1,P3,P1,P81,P58,P144,P230,86.960985
8.0,8,P3,P81,2.24621,-5.0455,0.7723511897928099,True,1,P3,P1,P58,P81,P29,P135,41.571039
9.0,9,P4,P100,2.24112,-5.17283,0.7918425141405095,True,1,P4,P136,P180,P100,P99,P121,-59.775099
10.0,10,P4,P136,2.29741,-4.74674,0.7266178350286637,True,1,P4,P100,P180,P136,P89,P220,-13.21281
11.0,11,P4,P180,2.21302,-5.47518,0.8381254161787329,True,1,P4,P100,P136,P180,P17,P179,46.421785
12.0,12,P5,P55,2.23083,-4.98911,0.7637191645044508,False,0,,,,,,,
13.0,13,P5,P108,2.21321,-5.25735,0.8047806020527657,False,0,,,,,,,
14.0,14,P5,P162,2.23757,-4.67886,0.7162269523087874,False,0,,,,,,,
15.0,15,P5,P205,2.24497,-4.81268,0.7367117479124092,False,0,,,,,,,
16.0,16,P6,P31,2.22216,-5.30095,0.8114547695039532,True,1,P6,P48,P145,P31,P34,P235,-100.309847
17.0,17,P6,P48,2.22345,-5.1465,0.7878119905398268,True,1,P6,P31,P145,P48,P13,P234,65.428824
18.0,18,P6,P145,2.19229,-5.55647,0.8505690646215548,True,1,P6,P31,P48,P145,P143,P148,-50.037145
19.0,19,P7,P24,2.18615,-5.61171,0.8590250510895272,True,1,P7,P97,P167,P24,P50,P152,60.446337
20.0,20,P7,P97,2.18628,-5.64034,0.8634076523309836,True,1,P7,P24,P167,P97,P90,P173,-50.727004
21.0,21,P7,P167,2.29775,-4.70508,0.720240637413607,True,1,P7,P24,P97,P167,P98,P207,19.294585
22.0,22,P8,P30,2.22387,-5.48495,0.8396209807658455,True,1,P8,P192,P201,P30,P69,P78,-45.940554
23.0,23,P8,P192,2.27328,-4.94978,0.7576986368472212,True,1,P8,P30,P201,P192,P61,P189,14.489902
24.0,24,P8,P201,2.2541,-5.1117,0.7824849027576863,True,1,P8,P30,P192,P201,P130,P200,63.721162
25.0,25,P9,P124,2.25745,-4.71295,0.7214453552539934,True,1,P9,P138,P247,P124,P57,P176,47.495181
26.0,26,P9,P138,2.28369,-4.54151,0.6952017940651956,True,1,P9,P124,P247,P138,P67,P176,-26.603764
27.0,27,P9,P247,2.24545,-4.86777,0.7451447727951138,True,1,P9,P124,P138,P247,P65,P170,-76.385425
28.0,28,P10,P39,2.28956,-4.79576,0.734121681094196,True,1,P10,P159,P172,P39,P183,P205,-25.035987
29.0,29,P10,P159,2.22986,-5.21302,0.7979946882199414,True,1,P10,P39,P172,P159,P118,P232,99.007304
30.0,30,P10,P172,2.1935,-5.65175,0.8651542635836911,True,1,P10,P39,P159,P172,P22,P226,-68.253816
31.0,31,P11,P96,2.26567,-4.99241,0.7642243193803433,True,1,P11,P131,P139,P96,P41,P95,42.400168
32.0,32,P11,P131,2.28247,-4.84976,0.742387851790621,True,1,P11,P96,P139,P131,P177,P186,-6.843291
33.0,33,P11,P139,2.19216,-5.56607,0.852038606078697,True,1,P11,P96,P131,P139,P91,P110,-60.607839
34.0,34,P12,P36,2.21252,-5.49652,0.841392084376172,True,1,P12,P71,P208,P36,P157,P230,-77.235773
35.0,35,P12,P71,2.29386,-4.7503,0.7271627899856873,True,1,P12,P36,P208,P71,P104,P120,-25.317303
36.0,36,P12,P208,2.25458,-5.27283,0.8071502376524075,True,1,P12,P36,P71,P208,P144,P194,-1.123703
37.0,37,P13,P48,2.19957,-5.52959,0.8464543485415565,True,1,P13,P87,P143,P48,P6,P234,-48.748214
38.0,38,P13,P87,2.22165,-5.38253,0.8239428103449595,True,1,P13,P48,P143,P87,P211,P225,61.336131
39.0,39,P13,P143,2.28179,-4.72935,0.7239558219099447,True,1,P13,P48,P87,P143,P145,P166,13.622913
40.0,40,P14,P68,2.28626,-4.74071,0.7256947793008962,True,1,P14,P219,P235,P68,P231,P246,-5.699256
41.0,41,P14,P219,2.26479,-4.71654,0.7219949025280705,False,0,,,,,,,
42.0,42,P14,P235,2.27756,-4.95302,0.7581946070890068,True,1,P14,P68,P219,P235,P31,P126,134.633636
43.0,43,P15,P64,2.22154,-5.4803,0.8389091716225421,True,1,P15,P146,P203,P64,P53,P125,-30.307496
44.0,44,P15,P146,2.21253,-5.34794,0.8186478687821941,True,1,P15,P64,P203,P146,P197,P240,64.591912
45.0,45,P15,P203,2.21872,-5.32735,0.8154960085110943,True,1,P15,P64,P146,P203,P27,P221,45.739609
46.0,46,P16,P19,2.25721,-4.9019,0.7503692988297246,True,1,P16,P60,P102,P19,P20,P35,-4.079224
47.0,47,P16,P60,2.24114,-5.20349,0.7965358621692575,True,1,P16,P19,P102,P60,P42,P198,48.052042
48.0,48,P16,P102,2.21982,-5.0058,0.7662740235585864,True,1,P16,P19,P60,P102,P25,P111,-79.357438
49.0,49,P17,P77,2.21296,-5.56863,0.8524304838006015,True,1,P17,P180,P220,P77,P141,P161,81.287801
50.0,50,P17,P180,2.22171,-5.29102,0.8099347125592217,True,1,P17,P77,P220,P180,P4,P179,-67.100779
51.0,51,P17,P220,2.21298,-5.38345,0.824083641401269,True,1,P17,P77,P180,P220,P136,P215,51.220804
52.0,52,P18,P26,2.23268,-5.24957,0.80358966116354,True,1,P18,P118,P150,P26,P46,P83,-78.783144
53.0,53,P18,P118,2.20506,-5.4617,0.8360619350493291,True,1,P18,P26,P150,P118,P159,P174,61.948429
54.0,54,P18,P150,2.21781,-5.36446,0.8211767047063596,True,1,P18,P26,P118,P150,P23,P122,68.914389
55.0,55,P19,P20,2.19885,-5.46862,0.8371212295163524,True,1,P19,P16,P35,P20,P42,P113,-59.941805
56.0,56,P19,P35,2.23694,-5.24316,0.8026084360864273,False,0,,,,,,,
57.0,57,P20,P42,2.23565,-5.25569,0.8045264938424682,True,1,P20,P19,P113,P42,P25,P60,75.247798
58.0,58,P20,P113,2.22212,-5.29093,0.8099209356080611,True,1,P20,P19,P42,P113,P54,P154,115.775082
59.0,59,P21,P59,2.27966,-4.7271,0.7236113981309269,True,1,P21,P160,P171,P59,P41,P137,44.987019
60.0,60,P21,P160,2.24313,-5.14565,0.7876818748899757,True,1,P21,P59,P171,P160,P219,P248,67.899982
61.0,61,P21,P171,2.18372,-5.67868,0.8692766335254453,True,1,P21,P59,P160,P171,P23,P242,52.226868
62.0,62,P22,P55,2.26075,-4.87928,0.7469066917713332,True,1,P22,P172,P205,P55,P5,P184,-14.720637
