# angle_center(rad) probability_density
0.000000 0.00109170
0.104720 0.00224406
0.209440 0.00206211
0.314159 0.00206211
0.418879 0.00200146
0.523599 0.00260796
0.628319 0.00285056
0.733038 0.00212276
0.837758 0.00339641
0.942478 0.00369966
1.047198 0.00382096
1.151917 0.00321446
1.256637 0.00400291
1.361357 0.00333576
1.466077 0.00248666
1.570796 0.00309316
1.675516 0.00248666
1.780236 0.00236536
1.884956 0.00363901
1.989675 0.00230471
2.094395 0.00291121
2.199115 0.00285056
2.303835 0.00175885
2.408554 0.00266861
2.513274 0.00278991
2.617994 0.00254731
2.722714 0.00327511
2.827433 0.00309316
2.932153 0.00278991
3.036873 0.00285056
3.141593 0.00327511
3.246312 0.00309316
3.351032 0.00206211
3.455752 0.00357836
3.560472 0.00248666
3.665191 0.00212276
3.769911 0.00236536
3.874631 0.00254731
3.979351 0.00236536
4.084070 0.00175885
4.188790 0.00212276
4.293510 0.00224406
4.398230 0.00285056
4.502949 0.00382096
4.607669 0.00230471
4.712389 0.00224406
4.817109 0.00260796
4.921828 0.00285056
5.026548 0.00351771
5.131268 0.00388161
5.235988 0.00442746
5.340708 0.00376031
5.445427 0.00418486
5.550147 0.00345706
5.654867 0.00230471
5.759587 0.00321446
5.864306 0.00212276
5.969026 0.00212276
6.073746 0.00236536
6.178466 0.00218341
