# angle_center(rad) probability_density
0.000000 0.00091878
0.104720 0.00214382
0.209440 0.00159255
0.314159 0.00159255
0.418879 0.00183756
0.523599 0.00159255
0.628319 0.00220507
0.733038 0.00257258
0.837758 0.00287884
0.942478 0.00318510
1.047198 0.00330761
1.151917 0.00306260
1.256637 0.00330761
1.361357 0.00330761
1.466077 0.00300135
1.570796 0.00287884
1.675516 0.00287884
1.780236 0.00245008
1.884956 0.00300135
1.989675 0.00245008
2.094395 0.00318510
2.199115 0.00294010
2.303835 0.00300135
2.408554 0.00318510
2.513274 0.00404263
2.617994 0.00257258
2.722714 0.00392013
2.827433 0.00373637
2.932153 0.00330761
3.036873 0.00330761
3.141593 0.00330761
3.246312 0.00428764
3.351032 0.00287884
3.455752 0.00355262
3.560472 0.00318510
3.665191 0.00343011
3.769911 0.00232758
3.874631 0.00263384
3.979351 0.00245008
4.084070 0.00312385
4.188790 0.00226632
4.293510 0.00245008
4.398230 0.00312385
4.502949 0.00257258
4.607669 0.00275634
4.712389 0.00245008
4.817109 0.00281759
4.921828 0.00294010
5.026548 0.00281759
5.131268 0.00367512
5.235988 0.00330761
5.340708 0.00453265
5.445427 0.00336886
5.550147 0.00232758
5.654867 0.00208257
5.759587 0.00177631
5.864306 0.00165380
5.969026 0.00159255
6.073746 0.00128629
6.178466 0.00232758
