# angle_center(rad) probability_density
0.000000 0.00121168
0.104720 0.00260511
0.209440 0.00199927
0.314159 0.00199927
0.418879 0.00278687
0.523599 0.00236278
0.628319 0.00284745
0.733038 0.00254453
0.837758 0.00333212
0.942478 0.00351387
1.047198 0.00345329
1.151917 0.00339271
1.256637 0.00308979
1.361357 0.00321095
1.466077 0.00290803
1.570796 0.00321095
1.675516 0.00302920
1.780236 0.00290803
1.884956 0.00308979
1.989675 0.00266570
2.094395 0.00218103
2.199115 0.00218103
2.303835 0.00230219
2.408554 0.00278687
2.513274 0.00260511
2.617994 0.00230219
2.722714 0.00321095
2.827433 0.00357446
2.932153 0.00333212
3.036873 0.00345329
3.141593 0.00345329
3.246312 0.00405913
3.351032 0.00321095
3.455752 0.00357446
3.560472 0.00296862
3.665191 0.00296862
3.769911 0.00260511
3.874631 0.00260511
3.979351 0.00205986
4.084070 0.00296862
4.188790 0.00181752
4.293510 0.00302920
4.398230 0.00236278
4.502949 0.00248395
4.607669 0.00242336
4.712389 0.00302920
4.817109 0.00272628
4.921828 0.00339271
5.026548 0.00327154
5.131268 0.00333212
5.235988 0.00272628
5.340708 0.00345329
5.445427 0.00315037
5.550147 0.00254453
5.654867 0.00242336
5.759587 0.00260511
5.864306 0.00169635
5.969026 0.00151460
6.073746 0.00181752
6.178466 0.00230219
