# bin_center difference
-174.857143 0.00101100
-164.571429 0.00108690
-154.285714 0.00089074
-144.000000 0.00048894
-133.714286 0.00092094
-123.428571 0.00035345
-113.142857 0.00029960
-102.857143 0.00004907
-92.571429 -0.00006331
-82.285714 -0.00013212
-72.000000 -0.00011795
-61.714286 -0.00082988
-51.428571 -0.00081465
-41.142857 -0.00064736
-30.857143 -0.00098743
-20.571429 -0.00065312
-10.285714 -0.00134955
0.000000 -0.00146300
10.285714 -0.00103154
20.571429 -0.00075133
30.857143 -0.00079782
41.142857 -0.00043438
51.428571 -0.00068544
61.714286 -0.00029206
72.000000 0.00002596
82.285714 -0.00000345
92.571429 0.00029960
102.857143 0.00011000
113.142857 0.00013258
123.428571 0.00049629
133.714286 0.00039861
144.000000 0.00098080
154.285714 0.00129882
164.571429 0.00092776
174.857143 0.00128332
