# bin_center difference
-174.857143 0.00091320
-164.571429 0.00065707
-154.285714 0.00032420
-144.000000 0.00040645
-133.714286 0.00042995
-123.428571 0.00040645
-113.142857 0.00014720
-102.857143 0.00001951
-92.571429 -0.00006899
-82.285714 0.00020045
-72.000000 -0.00048962
-61.714286 -0.00086324
-51.428571 -0.00064943
-41.142857 -0.00047237
-30.857143 -0.00034624
-20.571429 -0.00034781
-10.285714 -0.00063918
0.000000 -0.00094231
10.285714 -0.00078643
20.571429 -0.00047000
30.857143 -0.00061568
41.142857 -0.00096974
51.428571 -0.00075749
61.714286 -0.00026874
72.000000 -0.00042618
82.285714 0.00030070
92.571429 0.00024901
102.857143 0.00001795
113.142857 -0.00000712
123.428571 0.00011820
133.714286 0.00043464
144.000000 0.00113408
154.285714 0.00070095
164.571429 0.00137376
174.857143 0.00128682
