# bin_center difference
-174.857143 0.00094262
-164.571429 0.00066586
-154.285714 0.00052410
-144.000000 0.00049125
-133.714286 0.00053896
-123.428571 0.00030600
-113.142857 0.00025605
-102.857143 0.00027540
-92.571429 -0.00001846
-82.285714 0.00016454
-72.000000 -0.00015992
-61.714286 -0.00052173
-51.428571 -0.00085069
-41.142857 -0.00012542
-30.857143 -0.00029747
-20.571429 -0.00045917
-10.285714 -0.00103654
0.000000 -0.00182722
10.285714 -0.00045243
20.571429 -0.00080974
30.857143 -0.00052203
41.142857 -0.00066124
51.428571 -0.00084845
61.714286 -0.00046278
72.000000 -0.00036483
82.285714 -0.00004457
92.571429 0.00002309
102.857143 0.00058726
113.142857 0.00031050
123.428571 0.00047356
133.714286 0.00078317
144.000000 0.00078541
154.285714 0.00066556
164.571429 0.00077476
174.857143 0.00089462
