# frame a b c d e f angle(deg)
0 4 7 1 5 3 6 49.531363
1 1 0 6 3 7 4 37.892607
2 3 5 2 4 0 7 6.637511
3 0 6 3 1 5 4 176.772700
4 0 1 6 3 5 2 19.155448
5 3 0 5 4 2 1 59.019323
6 1 3 0 6 4 7 47.868741
7 1 0 4 3 2 7 20.754983
8 2 4 5 3 1 7 51.202878
9 0 4 1 5 7 3 11.784180
10 2 7 0 4 3 6 5.278512
11 1 2 4 6 5 3 57.193508
12 1 0 4 6 3 5 37.197852
13 5 1 2 6 0 3 40.560958
14 2 4 0 3 7 1 35.426332
15 2 7 5 6 1 0 52.565971
16 4 2 0 5 1 6 13.512287
17 0 2 1 4 6 3 50.412999
18 2 4 6 3 1 5 44.376179
19 4 7 6 5 1 0 127.851030
20 1 5 7 3 6 0 76.680080
21 0 6 1 4 2 5 67.462808
22 1 5 6 4 7 2 39.056222
23 3 5 1 4 2 6 11.309242
24 1 7 2 3 5 4 63.535274
25 3 0 1 4 7 5 47.299720
26 2 7 5 4 0 3 56.446525
27 5 0 3 6 2 4 14.977949
28 3 1 2 6 0 4 17.919065
29 0 7 6 4 3 1 78.372440
30 4 6 2 5 0 1 85.683806
31 0 5 6 3 2 1 5.223237
32 1 7 3 5 6 4 29.149353
33 0 1 4 5 6 7 56.478500
34 3 6 2 7 5 4 55.780314
35 0 5 4 1 2 3 173.666647
36 0 5 2 4 7 6 41.501964
37 0 3 6 5 1 4 173.749801
38 2 0 1 6 3 4 36.450389
39 5 0 3 6 2 7 38.157122
40 0 5 4 7 1 6 55.284624
41 0 7 6 4 1 5 9.485362
42 5 4 3 6 7 2 46.790135
43 2 3 1 6 4 0 33.781321
44 3 6 4 5 0 7 43.883001
45 3 1 0 4 2 7 48.842734
46 0 5 6 2 4 7 13.480551
47 0 6 2 5 3 1 15.782264
48 6 4 3 7 1 2 55.748511
49 1 7 5 4 0 3 27.191002
50 0 4 5 3 1 6 30.742628
51 2 7 6 5 1 0 44.337511
52 3 1 6 4 5 7 4.345525
53 4 7 3 5 1 2 21.904888
54 0 2 7 4 1 6 174.815362
55 0 3 4 5 1 6 25.192916
56 3 7 6 4 0 5 59.530351
57 2 6 4 7 0 1 32.617921
58 0 7 4 5 3 1 30.616930
59 5 1 3 7 4 6 41.472042
60 0 1 5 3 6 7 51.510191
61 0 7 2 1 4 3 10.752817
62 0 3 5 4 2 7 170.883027
63 1 6 4 2 5 7 25.656658
64 5 2 6 7 0 3 46.924658
65 3 2 7 5 4 1 44.423189
66 0 5 3 7 1 2 50.710420
67 0 2 1 5 7 6 50.503621
68 1 7 5 3 4 0 45.950333
69 1 0 7 5 3 6 47.897982
70 1 2 7 3 6 5 53.297372
71 5 6 4 7 0 3 26.512057
72 1 4 3 6 5 7 22.709468
73 0 5 1 2 4 3 31.338128
74 2 1 0 5 3 7 55.500014
75 0 4 5 2 3 1 30.312864
76 1 4 2 6 3 5 61.293084
77 1 2 4 6 3 5 168.432914
78 3 1 7 6 0 5 31.794175
79 1 0 7 3 2 4 38.667810
80 2 4 0 3 6 1 174.832540
81 2 1 0 7 5 6 21.266972
82 4 0 6 5 3 7 67.810972
83 1 3 2 6 4 0 8.415426
84 3 7 4 6 2 1 51.949646
85 3 1 7 4 2 5 19.866137
86 2 4 0 6 1 5 176.262886
87 0 7 2 5 4 1 26.094728
88 0 6 4 3 5 1 11.122836
89 5 1 2 6 7 3 61.398441
90 4 7 1 5 2 3 31.608104
91 0 6 4 7 1 3 31.495917
92 1 2 6 3 4 7 168.486582
93 2 6 0 4 3 7 35.833582
94 1 7 4 5 6 2 26.704211
95 1 3 6 4 5 2 32.449796
96 0 5 3 1 6 2 35.976120
97 0 7 3 1 2 6 6.507021
98 1 0 2 7 3 5 39.816259
99 4 5 2 7 1 0 51.448284
100 0 6 3 5 2 7 48.815855
101 1 5 2 7 4 3 37.351328
102 6 5 1 7 2 3 51.082788
103 2 6 7 5 0 4 25.543767
104 0 3 4 2 5 6 29.664994
105 3 4 2 7 6 5 22.846435
106 3 6 4 5 0 7 122.511045
107 3 5 6 4 7 0 53.331557
108 0 5 4 2 7 1 15.107892
109 4 6 5 7 2 0 58.947543
110 6 4 1 7 3 2 45.181680
111 0 1 2 3 5 4 18.535506
112 0 3 6 4 2 7 165.191466
113 4 1 7 6 5 2 63.589877
114 0 3 7 4 5 6 42.430859
115 3 6 5 7 4 2 23.037121
116 1 2 4 5 7 3 56.222474
117 2 3 1 5 7 4 19.141513
118 5 6 1 7 0 2 21.630095
119 3 6 2 7 1 5 17.126295
120 5 3 2 7 1 0 110.733997
121 0 4 3 7 1 6 71.789172
122 0 2 7 5 6 3 39.821759
123 3 6 0 7 1 4 26.436332
124 4 2 1 7 0 3 95.185743
125 2 1 3 7 5 0 28.551072
126 0 1 7 3 4 6 45.625618
127 1 0 7 3 2 4 51.907346
128 0 2 5 4 7 6 61.424034
129 1 6 3 2 5 0 18.783412
130 0 6 1 2 7 5 51.847191
131 1 4 2 7 6 3 19.463641
132 2 4 5 7 6 1 56.424669
133 5 1 0 7 6 3 48.103603
