# frame a b c d e f angle(deg)
0 0 1 5 3 6 4 8.720931
1 3 1 4 5 7 2 47.558372
2 0 4 1 2 6 5 41.721228
3 1 6 2 5 3 4 27.790179
4 1 4 5 2 7 0 49.193721
5 0 2 7 4 5 3 38.964130
6 2 4 1 5 3 7 27.636175
7 2 4 0 3 6 5 30.510408
8 2 3 0 4 1 5 67.395538
9 0 1 2 5 4 6 19.199304
10 2 7 1 5 6 3 60.052944
11 0 3 4 1 5 2 16.572752
12 3 7 4 5 1 0 56.024622
13 1 7 2 4 3 6 42.941057
14 2 3 7 4 1 5 55.628619
15 2 0 4 5 7 1 14.409349
16 3 0 1 4 6 2 7.175596
17 2 0 5 4 6 3 18.485346
18 3 7 2 6 5 1 62.663722
19 2 4 7 3 6 5 50.271705
20 1 4 0 2 6 5 40.918260
21 3 7 0 5 2 1 49.873431
22 0 7 3 2 4 5 38.845124
23 2 6 5 4 1 7 16.218196
24 1 6 0 3 7 4 161.157000
25 4 7 1 5 6 3 33.680820
26 0 4 6 3 5 1 24.811711
27 4 1 0 6 3 2 48.873309
28 1 6 5 4 0 2 49.835837
29 1 3 7 6 4 2 15.823934
30 0 3 1 4 6 2 53.370201
31 2 5 0 6 7 3 19.037917
32 2 0 7 5 6 1 52.269123
33 3 1 2 4 6 7 13.392442
34 0 1 6 2 7 4 19.864859
35 1 3 0 6 4 5 54.487670
36 1 7 5 4 2 0 24.677530
37 3 1 0 4 6 2 15.447144
38 1 5 4 3 6 2 50.773304
39 1 0 3 5 6 2 50.273910
40 2 1 0 4 5 3 18.393159
41 3 1 6 5 4 0 21.694901
42 1 0 5 3 7 4 13.657696
43 3 6 7 5 0 1 29.719966
44 1 5 4 3 6 2 17.653743
45 0 7 5 4 2 6 27.145068
46 0 1 4 5 2 3 14.439916
47 0 5 4 1 3 6 51.246327
48 5 7 3 6 4 0 24.240014
49 0 2 5 3 1 6 25.688227
50 0 2 3 6 5 4 47.733040
51 0 4 2 3 7 5 24.720664
52 3 7 0 5 2 1 50.614941
53 2 7 5 4 1 6 42.076184
54 0 7 4 2 5 6 26.358185
55 1 4 6 5 2 7 39.868248
56 0 5 4 1 7 6 26.092755
57 2 3 5 4 0 6 46.602388
58 2 4 3 5 0 7 55.656578
59 0 6 5 2 1 3 22.926342
60 4 2 1 5 0 6 45.948671
61 3 1 0 4 2 7 18.704227
62 1 6 5 7 4 0 49.450580
63 0 7 2 6 1 4 20.689806
64 3 5 0 4 2 1 33.232788
65 5 0 4 7 2 6 33.947337
66 1 0 7 2 3 5 28.566584
67 3 7 2 4 0 6 38.539302
68 1 7 2 4 3 6 5.108224
69 1 0 5 4 2 6 20.960069
70 1 6 7 5 0 3 37.518222
71 2 3 4 5 1 0 48.318317
72 2 6 1 4 0 7 22.230401
73 1 6 0 2 7 5 55.277876
74 3 6 0 4 2 5 2.225242
75 1 0 6 4 3 2 11.347302
76 0 3 1 6 5 2 52.992457
77 0 3 5 1 6 4 40.147688
78 1 7 4 2 3 0 51.175772
79 3 0 5 6 2 4 51.264586
80 0 1 7 5 6 3 29.079199
81 4 2 1 6 5 3 35.191019
82 0 1 2 6 3 4 53.058483
83 4 2 5 6 3 0 16.678553
84 0 1 5 6 3 7 6.652991
85 3 2 7 4 0 1 29.003419
86 0 4 7 2 6 1 12.191913
87 5 1 7 6 4 2 29.161637
88 2 6 1 5 4 7 44.233510
89 1 6 4 7 0 3 54.864080
90 1 5 4 3 2 6 33.384902
91 0 3 5 4 1 6 39.123821
92 4 7 3 5 2 1 35.474247
93 3 5 2 7 6 0 51.060955
94 0 6 4 2 3 7 56.041513
95 5 7 3 6 0 2 12.203604
96 3 6 1 5 0 4 50.112313
97 1 3 7 5 0 2 2.985880
98 1 6 3 4 2 5 49.485704
99 3 6 0 5 7 4 22.141538
100 0 6 3 5 4 7 23.412566
101 0 5 3 6 1 7 52.489314
102 1 4 0 2 7 3 36.607399
103 5 0 4 6 2 7 45.738588
104 1 0 5 3 2 4 30.678994
105 4 0 5 6 7 3 48.581584
106 3 1 2 6 4 5 49.377022
107 1 3 0 5 6 2 17.979350
108 4 1 7 6 2 5 37.365016
109 1 4 2 3 7 6 12.996872
110 0 5 2 1 7 6 34.445773
111 1 6 0 5 7 3 5.262394
112 2 7 0 3 4 5 53.999464
113 1 4 0 7 2 5 55.296747
114 1 6 0 4 5 7 26.974697
115 2 5 7 4 3 6 62.220430
116 0 6 1 2 7 3 46.982754
117 4 7 3 6 1 2 24.256608
118 3 7 6 4 5 0 44.268033
119 1 6 0 5 2 7 9.354099
120 1 7 3 2 6 5 22.552612
121 2 1 4 3 5 7 45.185105
122 0 6 3 2 1 5 41.372934
123 2 4 7 6 1 3 17.340533
124 1 6 7 3 5 4 49.587558
125 4 0 3 5 1 7 165.088617
126 3 7 5 6 2 1 18.220318
127 4 1 2 6 7 5 27.900971
128 4 7 2 5 6 3 52.921312
129 0 7 1 2 6 4 50.165613
130 1 0 4 6 3 5 32.373788
131 4 7 1 6 2 3 13.265878
132 1 4 7 3 5 0 46.984834
133 0 6 2 1 4 3 35.350265
134 3 5 0 6 4 2 48.664572
135 5 1 3 6 2 4 11.103915
136 0 7 5 2 3 6 25.170391
137 3 2 5 4 7 6 47.701858
138 2 0 6 3 7 1 29.738518
139 0 4 7 2 6 1 125.475231
140 5 2 7 6 4 3 58.392177
141 1 2 3 7 5 4 17.017860
142 0 7 4 5 6 3 43.935256
143 2 0 4 6 7 3 48.610044
144 0 4 3 1 5 7 16.669995
145 0 4 1 3 7 2 52.482391
146 2 5 0 7 3 6 38.705855
147 0 1 2 3 4 7 26.628111
148 1 5 3 4 7 6 12.685499
149 2 6 3 4 7 1 34.406597
150 0 7 4 2 1 6 44.827649
151 0 7 2 4 5 3 13.083111
152 2 0 6 7 5 1 12.979347
153 2 1 7 6 0 5 15.384113
154 1 4 2 3 6 0 51.499993
155 1 4 3 2 5 6 13.779438
156 2 1 6 5 0 4 10.915190
157 1 7 5 3 6 0 178.295114
158 0 3 7 2 6 4 55.269035
159 0 2 7 4 3 1 18.764493
160 3 0 7 4 5 6 2.011014
161 2 6 4 3 0 7 13.893526
162 0 4 5 3 1 2 40.459840
163 2 6 5 3 1 0 2.954749
164 4 0 6 5 2 1 57.098922
165 0 3 5 4 1 7 14.722215
166 0 3 5 1 6 2 13.536992
167 2 6 0 3 7 5 44.579284
168 3 2 7 5 4 1 45.824241
169 1 6 7 2 5 4 47.444881
170 2 5 1 4 0 7 11.650486
171 5 4 2 6 7 1 46.769820
172 0 7 6 2 1 5 10.175181
173 1 2 3 4 5 6 56.467914
174 0 4 6 2 3 5 52.491259
175 0 4 3 1 6 5 38.241978
176 1 2 4 5 7 3 3.678496
177 3 0 5 4 6 1 45.234613
178 3 6 7 4 1 5 56.078855
179 4 5 7 6 0 1 47.425489
180 2 5 3 6 0 1 21.356372
181 4 2 6 5 1 0 50.551516
182 2 0 1 6 7 4 21.169938
183 3 1 4 5 2 7 16.078101
184 2 3 0 4 6 5 52.594894
185 1 0 6 3 2 5 20.703394
186 1 0 3 5 6 4 49.618747
187 5 3 1 7 6 2 17.131717
188 1 0 7 5 3 6 49.319325
189 0 4 1 2 7 5 51.243249
190 2 3 0 5 7 1 44.799226
191 2 6 5 3 4 1 42.226694
192 0 5 1 6 2 7 74.525306
193 0 5 6 1 7 3 24.151300
194 3 2 7 6 5 1 178.796071
195 0 1 4 5 7 2 24.239555
196 5 1 2 6 3 0 20.218535
197 5 2 4 6 7 1 12.709936
198 3 2 7 4 6 1 57.747224
199 3 2 5 6 4 1 34.491165
200 4 6 3 5 1 0 39.511165
201 0 7 4 1 5 6 121.386247
202 5 1 2 7 3 4 51.151307
203 3 2 0 7 5 4 19.590874
204 0 1 7 3 6 2 14.986327
205 2 7 5 4 6 1 20.906691
206 0 7 4 5 1 2 18.889372
207 1 5 4 2 6 0 13.342562
208 1 4 2 5 0 3 51.102816
209 4 6 1 7 5 2 26.052162
210 5 1 0 7 4 2 46.718317
211 5 0 1 7 2 6 26.762143
212 0 6 2 3 5 4 2.350582
213 0 6 2 3 5 4 2.350582
214 1 5 0 6 3 7 20.826988
215 0 4 7 1 5 2 13.456110
216 4 1 7 5 2 6 31.606106
217 5 2 4 6 1 7 5.579926
218 5 0 1 7 3 4 26.207630
219 0 6 3 4 2 1 25.977914
220 2 4 0 6 3 1 36.288450
221 0 5 3 2 6 4 54.002202
222 2 0 6 4 3 1 16.776819
223 4 3 5 7 6 1 30.862592
224 1 2 6 4 7 5 28.630389
225 4 3 6 5 7 0 36.414349
226 0 2 7 4 3 6 36.228308
227 0 6 4 2 7 5 54.684759
228 4 1 2 7 3 0 32.486173
229 0 2 5 4 1 6 3.624449
230 0 1 3 4 2 7 42.888511
231 2 5 7 4 1 6 35.559846
232 1 6 3 4 7 0 24.311192
233 0 4 7 6 3 2 27.627986
234 0 7 3 5 4 1 47.821396
235 3 5 6 4 0 7 5.427125
236 0 5 4 7 1 2 17.779130
237 2 5 6 4 3 7 46.944881
238 3 1 4 5 7 2 38.524997
239 0 5 4 7 1 3 31.454679
240 1 3 4 6 0 2 151.119394
241 1 0 2 5 4 3 35.037365
242 2 6 5 4 3 0 23.398728
243 1 4 7 5 6 2 2.257235
244 1 4 7 3 0 2 37.727853
245 5 3 2 6 7 0 30.905827
246 0 7 2 5 6 3 45.494462
247 1 0 5 3 6 7 22.226923
