# frame a b c d e f angle(deg)
0 1 2 7 5 0 3 34.358172
1 3 7 4 5 0 1 41.089582
2 5 3 7 6 1 2 47.346952
3 2 7 0 3 6 4 0.923718
4 2 7 0 3 6 4 0.923718
5 1 4 0 2 3 7 50.819010
6 2 7 4 5 1 0 178.941490
7 0 6 5 3 4 2 14.869556
8 1 6 3 4 2 7 15.020703
9 2 7 4 3 5 1 12.206841
10 0 4 5 1 2 6 61.602995
11 3 2 7 4 6 5 56.236333
12 0 3 1 6 7 5 26.211085
13 1 7 3 4 5 2 62.043701
14 2 0 7 4 1 5 39.596225
15 1 0 4 2 7 3 158.466906
16 2 1 5 4 3 7 167.393248
17 1 0 2 6 3 4 56.369409
18 1 4 0 5 2 3 60.877927
19 6 5 4 7 0 1 19.375544
20 2 0 7 3 6 4 30.538284
21 1 7 6 5 3 4 24.468270
22 2 5 1 3 7 0 74.193930
23 1 7 0 6 4 2 18.517622
24 1 2 4 5 3 6 57.563382
25 2 4 5 6 7 0 64.061375
26 1 0 6 5 2 3 18.517622
27 0 6 3 5 4 1 43.516830
28 1 2 7 5 6 4 171.784067
29 1 2 5 3 6 0 55.656542
30 2 0 1 6 3 5 21.950566
31 3 4 1 6 2 5 31.505347
32 1 7 0 3 5 4 171.668948
33 0 4 1 2 6 5 1.694486
34 0 4 5 1 7 2 41.870552
35 2 7 0 3 1 4 52.980586
36 1 2 5 7 0 6 171.596215
37 2 1 0 3 7 5 42.903640
38 1 5 3 4 0 2 10.535600
39 2 5 6 3 0 1 55.125362
40 4 7 0 6 5 2 10.777721
41 0 6 7 4 5 3 45.685636
42 1 6 5 2 4 3 10.948794
43 0 6 5 1 4 3 44.342358
44 1 0 4 2 5 3 28.868867
45 1 2 0 4 5 7 63.509752
46 0 2 1 6 4 7 59.035577
47 0 5 2 3 1 6 26.386344
48 1 3 5 2 0 6 48.534587
49 1 5 3 6 2 4 56.834114
50 0 3 6 5 2 1 61.268392
51 0 1 5 4 2 6 20.005755
52 1 6 2 5 3 7 43.237531
53 5 3 0 6 4 1 59.137594
54 2 6 1 3 0 4 47.217220
55 4 7 3 6 5 0 38.228610
56 0 2 4 3 5 1 26.525323
57 1 5 7 6 0 2 172.538833
58 2 6 3 5 1 0 55.434171
59 0 1 5 4 6 3 48.894528
60 0 5 2 6 3 1 8.368738
61 3 4 1 6 0 2 23.647297
62 6 1 3 7 4 5 12.253722
63 1 2 0 5 4 6 46.046412
64 2 4 7 3 1 5 176.455677
65 1 5 3 6 4 7 2.809159
66 0 1 3 4 6 7 21.289141
67 0 1 2 3 7 6 21.289141
68 2 3 5 7 6 0 41.544056
69 6 5 1 7 0 3 48.919635
70 5 4 6 7 3 1 27.993521
71 3 2 7 4 5 6 56.153241
72 1 3 6 2 7 4 41.328784
73 3 2 7 6 5 4 57.449303
74 2 4 0 6 1 7 24.300153
75 2 1 3 4 5 6 6.774079
76 0 1 3 6 5 2 46.279134
77 1 4 3 7 2 0 4.604638
78 0 3 2 4 7 5 53.847004
79 5 0 7 6 1 3 61.046280
80 2 3 1 5 0 6 66.820010
81 5 1 2 6 0 4 41.296946
82 0 1 4 7 3 6 71.707103
83 0 3 6 1 5 4 11.897303
84 0 1 6 3 7 2 176.199184
85 1 2 3 6 4 7 164.558057
86 1 0 4 6 3 2 30.105910
87 0 4 2 1 3 6 20.690646
88 0 4 3 6 7 1 64.211368
89 0 1 7 4 2 6 51.230542
90 0 4 5 2 6 7 41.560530
91 2 7 0 6 3 5 8.827431
92 1 7 0 5 4 2 4.302468
93 4 3 5 6 2 7 19.200218
94 0 6 4 2 5 7 7.317924
95 0 4 7 5 6 3 1.331495
96 0 7 5 3 2 4 44.389429
97 2 0 5 4 7 6 28.709995
98 1 0 2 5 4 7 49.115171
99 0 1 2 6 4 7 10.666696
100 4 2 5 6 7 0 43.647853
101 4 3 0 5 7 1 170.124767
102 1 3 7 6 2 4 36.083336
103 2 1 4 3 7 5 32.919897
104 2 4 1 6 0 7 12.320777
105 2 4 5 7 0 6 46.024476
106 1 3 4 7 0 6 46.024476
107 3 4 1 7 6 0 36.371891
108 4 2 5 7 3 0 23.187489
109 6 2 0 7 1 4 60.768962
